No.,CAS,SMILES,pLD50
239,49842-07-1,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,-2.42
240,50916-11-5,CCOc1cc(cc(OCC)c1OCC)C(=O)C2CCON2,-2.78
241,50916-12-6,CCOc1cc(cc(OCC)c1OCC)C(=O)N2CCOC2,-2.78
242,51071-56-8,Nc1ncccc1C(=O)NCc2ccccc2,-2.66
243,51071-57-9,Nc1ncccc1C(=O)Nc2ccccc2,-2.47
244,51071-58-0,Cc1ccc(NC(=O)c2cccnc2N)cc1,-2.06
245,51071-59-1,COc1ccc(NC(=O)c2cccnc2N)cc1,-2.35
246,51081-37-9,CC(C)OP1(=O)CCC=C1,-3.49
247,51081-38-0,CC(C)OP1(=O)CC=CC1,-3.38
248,51781-21-6,CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,-2.57
249,54521-95-8,CCC(=O)OC1(CC(C)N(CCCN(C)C)CC1C)c2ccccc2,-2.44
250,54521-97-0,CCN(CC)CCCN1CC(C)C(CC1C)(OC(=O)CC)c2ccccc2,-2.60
251,54521-99-2,CCC(=O)OC1(CC(C)N(CCCN2CCCC2)CC1C)c3ccccc3,-2.64
252,54522-01-9,CCC(=O)OC1(CC(C)N(CCCN2CCCCC2)CC1C)c3ccccc3,-2.39
253,54522-03-1,CCC(=O)OC1(CC(C)N(CCCN2CCOCC2)CC1C)c3ccccc3,-2.60
254,56533-61-0,O=C(CN1CCCCC1)N2CCc3ccccc23,-2.12
255,58012-93-4,OC(CN1CCN(CC1)c2ccccc2)c3cccnc3,-2.35
256,58012-94-5,COc1ccccc1N2CCN(CC(O)c3cccnc3)CC2,-2.17
257,58012-96-7,COc1ccc(cc1)N2CCN(CC(O)c3cccnc3)CC2,-1.87
258,58012-97-8,Cc1ccccc1N2CCN(CC(O)c3cccnc3)CC2,-2.17
259,58012-98-9,Cc1cccc(c1)N2CCN(CC(O)c3cccnc3)CC2,-2.39
260,58013-00-6,OC(CN1CCN(CC1)c2ccccc2Cl)c3cccnc3,-2.26
261,58013-01-7,OC(CN1CCN(CC1)c2cccc(Cl)c2)c3cccnc3,-2.44
262,58013-02-8,OC(CN1CCN(CC1)c2ccc(Cl)cc2)c3cccnc3,-2.05
263,58013-04-0,OC(CN1CCN(CC1)c2ccccc2)c3ccncc3,-2.38
264,58013-05-1,COc1ccccc1N2CCN(CC(O)c3ccncc3)CC2,-2.32
265,58013-06-2,COC(CN1CCN(CC1)c2ccccc2)c3cccnc3,-2.28
266,58013-07-3,CCOC(CN1CCN(CC1)c2ccccc2)c3cccnc3,-2.08
267,58013-08-4,COC(CN1CCN(CC1)c2ccccc2OC)c3cccnc3,-1.91
268,58013-10-8,COC(CN1CCN(CC1)c2ccccc2Cl)c3cccnc3,-2.08
269,58013-12-0,O=C(CN1CCN(CC1)c2ccccc2)c3cccnc3,-2.45
270,58013-13-1,Clc1ccccc1N2CCN(CC(=O)c3cccnc3)CC2,-2.30
271,58013-14-2,COc1ccccc1N2CCN(CC(=O)c3cccnc3)CC2,-2.33
272,58013-15-3,COc1ccccc1N2CCN(CCc3cccnc3)CC2,-1.83
273,58013-16-4,C(Cc1cccnc1)N2CCN(CC2)c3ccccc3,-2.09
