canonical_smiles	0	1	2	3	4	5	6	7	8	9
ONC(=O)CCCCCCC(=O)Nc1ccccc1	0.119166404	1.2322928	0.93744683	-0.020442717	1.9562231	-0.5771583	0.49472052	0.7120685	-0.8373182	0.32931018
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-2.2597744	0.29834765	0.5813842	0.03614378	-0.78368026	-0.6473167	0.9256102	0.41196334	-0.9844109	-0.20728302
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.4697647	0.3838157	0.71597195	1.4712243	0.60868716	0.2032119	1.2717283	-0.6763479	-1.1789333	0.26355737
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.99914324	-0.8938301	0.31723604	0.77543175	1.0670466	1.1111633	-0.7811788	0.5818964	0.47525108	1.0098618
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.5336405	-0.4441975	0.7146106	-0.20470034	1.8476224	1.335772	0.80154914	-1.6318011	-0.5339916	0.6667464
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.929314	0.43588433	0.41999424	1.1217016	1.4843681	-1.08051	0.6352406	-0.43684667	0.7131226	-0.17579287
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-2.4663408	-0.06603274	0.57951	-0.27386695	-0.4083903	0.6512794	0.8213954	-0.37935558	0.7449549	-0.012303799
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.6318944	0.088156044	0.2863202	0.21941872	1.1047336	-0.91346914	-0.51497126	-0.6272659	-1.2988135	0.38058951
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.6278171	0.6482387	0.48171785	-0.017853662	1.4967202	0.81708956	0.9941979	-1.9034989	-1.2399919	-0.35556635
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.8082868	-0.5121177	0.36270607	1.1892488	1.216107	-3.3923204	0.7801321	-0.29872715	0.90929574	-1.0426002
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.12320329	0.32342327	0.7101644	0.17994353	1.116383	-0.31611013	0.4517628	0.13185844	-0.30834776	-1.0217745
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.7388971	-1.8371141	0.24196428	0.6570165	0.77840894	-0.8980143	-1.1159171	0.61489743	0.35526866	0.27274287
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.2528254	-0.28272057	0.42607284	1.5298216	0.9171492	1.389954	-1.3505435	-0.7613352	-2.3153758	-0.19273849
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.1740909	-0.13971315	0.39458454	1.0154917	0.5854716	0.8143784	0.43261606	-0.15658282	-0.052494977	-0.33261055
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.50546557	-0.29541856	0.83759695	0.44438905	1.9996492	-1.0452889	0.15988414	-1.9723134	0.46311703	0.4886076
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.7463531	0.49693447	0.25228196	0.53325903	1.4368539	1.0927094	0.5669393	-1.4841743	-0.017855749	-0.71642584
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.0149658	0.37135863	0.45639578	0.19187021	0.36820376	-0.036979254	-1.4101146	-1.4596127	0.8545522	-0.47585163
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.0315353	1.1131959	0.089318246	1.4266462	-0.2629292	-0.5355464	-0.33461773	-0.3728334	-0.030032486	-1.0757343
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.6855274	1.4357307	0.5621351	-0.16210417	1.2065217	1.4333421	-0.49475545	-1.2952701	-0.10927646	-1.312409
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-1.7473	0.2900503	-0.046121016	-0.9265949	0.45775762	0.8375176	-0.18654466	0.740621	-1.3093158	0.57531005
ONC(=O)CCCCCCC(=O)Nc1ccccc1	0.19126862	0.7263361	-0.9613298	-0.32923135	0.22105107	1.3468857	0.12735075	1.3079374	1.4798399	0.038407333
ONC(=O)CCCCCCC(=O)Nc1ccccc1	-0.7922279	-1.2390902	-1.2797958	-0.10593003	0.32725066	-0.31490117	-0.7090513	-0.60665286	-1.1536906	-0.021811247
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-1.7864808	-0.28791934	0.09215346	0.8352673	0.89444804	-0.53895044	0.47111046	0.71067804	-1.3088776	0.18551898
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-1.4310875	0.8253516	0.49272552	1.1005285	0.29466158	0.6926745	-0.35368645	0.58800685	-0.059525475	0.9679973
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-1.7391999	-0.18464625	0.13653621	0.77481073	0.99720454	0.06676256	0.23464565	0.2379731	0.6021261	-0.94967145
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-0.8001117	0.61304903	0.2714255	1.6458524	0.873056	0.27656785	-0.38493055	-0.516058	0.7728891	-0.2372472
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-1.7357165	0.4369288	-0.027022667	0.99627984	1.3071294	-0.6734036	-0.15982556	0.38464087	-0.37485594	1.6631398
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-1.1898363	-1.4086032	0.10567048	1.3442751	0.5128497	1.3041147	0.23553723	0.46982864	-0.6701037	-0.13055469
Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl	-1.2989451	0.2855063	-0.82816845	2.0244129	-0.46210623	-1.3653466	0.4071933	-0.7535865	-0.5375306	1.0503763
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-2.545045	0.80669695	0.44536552	-0.31421018	-0.34209064	-1.2004528	0.8587141	1.2582132	-0.07145315	1.3334557
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-1.3539536	0.3642626	0.35610116	1.7389944	1.1056058	0.5862809	0.07913697	0.8170265	1.4743648	-0.23884405
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-2.342613	-0.20170157	0.77572674	-0.40400118	-0.6091318	-0.2744493	1.0449033	0.18332183	-1.0388206	0.15914226
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-1.1065974	-0.026731133	0.49545118	1.3157544	1.4814314	0.29698226	0.47337812	0.21052755	0.3307923	0.78311497
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-1.4267235	-0.4570113	0.71308005	1.5272956	0.047034442	-0.2595564	0.27290535	0.45273966	-0.34151173	0.49112877
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-2.6296191	-0.26006874	0.7269046	-0.40554255	-0.21188474	0.38581157	0.3255157	-0.4706814	-0.9247043	0.18998854
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-1.0680137	-0.29784927	0.22711286	0.6124039	2.176331	-0.09469229	1.269688	0.13510492	-0.03734778	0.423719
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-2.4161053	-0.1566051	0.3576941	-0.12024517	-0.30987024	0.704875	-0.06050235	0.62415975	1.4153055	-0.9980115
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	-1.0327312	-0.43328503	0.16222093	0.26526093	0.4682865	-0.22036053	0.18993033	-0.10102028	1.2810001	-0.37452286
